id	Name	Alter	Geschlecht	Altersgruppen
127	Cary Droogan	43	MŠnnlich	35 Ð 44
128	Yehudit Spiller	47	MŠnnlich	45 Ð 54
129	Sigismond Jeannel	24	MŠnnlich	< 25
130	Ulick Gouth	17	MŠnnlich	< 25
131	Liane Bell	51	Weiblich	45 Ð 54
132	Lennie Djurdjevic	49	MŠnnlich	45 Ð 54
133	Rana MacIlraith	71	Weiblich	> 54
134	Alexandre Caddan	43	MŠnnlich	35 Ð 44
135	Zebulon Beacon	54	MŠnnlich	45 Ð 54
136	Clari O'Lennachain	44	Weiblich	35 Ð 44
137	Sammie Philips	69	MŠnnlich	> 54
138	Preston Champagne	44	MŠnnlich	35 Ð 44
139	Hagen Kibel	45	MŠnnlich	45 Ð 54
140	Danielle Howick	37	Weiblich	35 Ð 44
141	Rois Gricewood	45	Weiblich	45 Ð 54
142	Emmett Jarmaine	38	MŠnnlich	35 Ð 44
143	Arnold Palmer	55	MŠnnlich	> 54
144	Freddi Hume	45	Weiblich	45 Ð 54
145	Corly Kelinge	52	Weiblich	45 Ð 54
146	Karoly McGrale	46	MŠnnlich	45 Ð 54
147	Udall Frankes	46	MŠnnlich	45 Ð 54
148	Eileen Delafoy	44	Weiblich	35 Ð 44
149	Wesley Cunningham	44	MŠnnlich	35 Ð 44
150	Alix Schade	40	MŠnnlich	35 Ð 44
151	Shina Cornels	38	Weiblich	35 Ð 44
152	Kelsy McMechan	49	Weiblich	45 Ð 54
153	Erasmus Woloschin	43	MŠnnlich	35 Ð 44
154	Dorelle Poleykett	29	Weiblich	25 Ð 34
155	Terencio Aldin	54	MŠnnlich	45 Ð 54
156	Valenka Leppo	43	Weiblich	35 Ð 44
157	Ennis Heinonen	43	MŠnnlich	35 Ð 44
158	Mohammed Gebhardt	27	MŠnnlich	25 Ð 34
159	Trixy January 1st	44	Weiblich	35 Ð 44
160	Edgardo Croser	42	MŠnnlich	35 Ð 44
161	Irvin Kornilov	40	MŠnnlich	35 Ð 44
162	Rosene Hutchcraft	39	Weiblich	35 Ð 44
163	Tonnie Glaysher	45	MŠnnlich	45 Ð 54
164	Jared Gush	53	MŠnnlich	45 Ð 54
165	Jacquelynn Jozwik	33	Weiblich	25 Ð 34
166	Gardiner Thornborrow	42	MŠnnlich	35 Ð 44
167	Felike Casetta	62	MŠnnlich	> 54
168	Babbette Wickersham	32	Weiblich	25 Ð 34
169	Hannie Danilovich	59	Weiblich	> 54
170	Amaleta Dhillon	39	Weiblich	35 Ð 44
171	Abelard Flattman	50	MŠnnlich	45 Ð 54
172	Tybi MacGille	58	Weiblich	> 54
173	Guillema Hofer	52	Weiblich	45 Ð 54
174	Hollie Benditt	46	Weiblich	45 Ð 54
175	Shamus Hansen	33	MŠnnlich	25 Ð 34
176	Henrik Ettery	40	MŠnnlich	35 Ð 44
177	Gil Goodhall	41	MŠnnlich	35 Ð 44
178	Imojean Chippendale	47	Weiblich	45 Ð 54
179	Rodie Petford	55	Weiblich	> 54
180	Portia Checchi	51	Weiblich	45 Ð 54
181	Zuzana Shearsby	37	Weiblich	35 Ð 44
182	Kelley Albinson	60	MŠnnlich	> 54
183	Ingeborg Durward	32	Weiblich	25 Ð 34
184	Berne Karsh	62	MŠnnlich	> 54
185	Alfred Adrien	49	MŠnnlich	45 Ð 54
186	Carolin Kinloch	33	Weiblich	25 Ð 34
187	Conny Hellmer	46	MŠnnlich	45 Ð 54
188	Sallyanne Leefe	64	Weiblich	> 54
189	Arden Durnan	52	Weiblich	45 Ð 54
190	Kalinda Dobbings	50	Weiblich	45 Ð 54
191	Leticia Templeton	48	Weiblich	45 Ð 54
192	Alphonse McWhan	50	MŠnnlich	45 Ð 54
193	Napoleon Cockley	43	MŠnnlich	35 Ð 44
194	Emmalyn Rivitt	31	Weiblich	25 Ð 34
195	Brew Kilborn	48	MŠnnlich	45 Ð 54
196	Lacy Avramow	53	Weiblich	45 Ð 54
197	Cary Stanyard	36	MŠnnlich	35 Ð 44
198	Agosto Brownsmith	59	MŠnnlich	> 54
199	Kristofer Cosens	29	MŠnnlich	25 Ð 34
200	Padget Daffern	42	MŠnnlich	35 Ð 44
201	Neila Kerne	40	Weiblich	35 Ð 44
202	Judah Cleaves	29	MŠnnlich	25 Ð 34
203	Vanni Varsey	37	Weiblich	35 Ð 44
204	Terrence Lindeboom	41	MŠnnlich	35 Ð 44
205	Papageno Cove	40	MŠnnlich	35 Ð 44
206	Rosella Drees	29	Weiblich	25 Ð 34
207	Liv Giraudou	46	Weiblich	45 Ð 54
208	Edd Wetheril	43	MŠnnlich	35 Ð 44
209	Olivero Hiskey	43	MŠnnlich	35 Ð 44
210	Lib Senn	32	Weiblich	25 Ð 34
211	Corey Pettiford	55	Weiblich	> 54
212	Margarita Standbrooke	57	Weiblich	> 54
213	Holly Parkman	41	Weiblich	35 Ð 44
214	Matias Tofts	38	MŠnnlich	35 Ð 44
215	Aurthur McCullagh	46	MŠnnlich	45 Ð 54
216	Oriana Stainton	34	Weiblich	25 Ð 34
217	Carlen Spellward	43	Weiblich	35 Ð 44
218	Kendell Radke	57	MŠnnlich	> 54
219	Alvan Chadbourne	63	MŠnnlich	> 54
220	Ellene Spybey	53	Weiblich	45 Ð 54
221	Christian Hulbert	45	MŠnnlich	45 Ð 54
222	Giacopo Sabberton	35	MŠnnlich	35 Ð 44
223	Eudora Haldane	77	Weiblich	> 54
224	Anatole Stratz	40	MŠnnlich	35 Ð 44
225	Ariana Patchett	42	Weiblich	35 Ð 44
226	Isaiah Seyler	34	MŠnnlich	25 Ð 34
227	Currey Carnachen	45	MŠnnlich	45 Ð 54
228	Sallyann McInulty	56	Weiblich	> 54
229	Kort Radish	41	MŠnnlich	35 Ð 44
230	Edouard Phetteplace	35	MŠnnlich	35 Ð 44
231	Bernadene Sibary	52	Weiblich	45 Ð 54
232	Dosi Pepi	27	Weiblich	25 Ð 34
233	Ansell Gianolo	47	MŠnnlich	45 Ð 54
234	Ruthann Heart	32	Weiblich	25 Ð 34
235	Ettie Mc Pake	45	Weiblich	45 Ð 54
236	Rubin Scotsbrook	40	MŠnnlich	35 Ð 44
237	Verene Losano	44	Weiblich	35 Ð 44
238	Hamil Bignall	66	MŠnnlich	> 54
239	Buckie Sant	71	MŠnnlich	> 54
240	Freddi Perillio	68	Weiblich	> 54
241	Jeanine Abbotson	57	Weiblich	> 54
242	Giustino Pawelski	48	MŠnnlich	45 Ð 54
243	Sayers Beauchop	50	MŠnnlich	45 Ð 54
244	Roarke Monier	50	MŠnnlich	45 Ð 54
245	Ted Houliston	52	Weiblich	45 Ð 54
246	Megan Dunbavin	44	Weiblich	35 Ð 44
247	Gianina Sutcliff	21	Weiblich	< 25
248	Vincent Pfertner	42	MŠnnlich	35 Ð 44
249	Trumaine Mayell	39	MŠnnlich	35 Ð 44
250	Pietra Thornewill	62	Weiblich	> 54
251	Marsh Tran	44	MŠnnlich	35 Ð 44
252	Staford Mateja	46	MŠnnlich	45 Ð 54
253	Lewes Camamile	51	MŠnnlich	45 Ð 54
254	Gamaliel Arpino	44	MŠnnlich	35 Ð 44
255	Darrin Cleall	38	MŠnnlich	35 Ð 44
256	Zsazsa Birdwhistle	43	Weiblich	35 Ð 44
257	Franklin Quick	55	MŠnnlich	> 54
258	Elwood Gilyatt	49	MŠnnlich	45 Ð 54
259	Catina Eake	27	Weiblich	25 Ð 34
260	Natty Brooker	53	MŠnnlich	45 Ð 54
261	Ashton Stilly	42	MŠnnlich	35 Ð 44
262	Carling Brandli	58	MŠnnlich	> 54
263	Corey Clitherow	53	MŠnnlich	45 Ð 54
264	Salaidh Engley	48	Weiblich	45 Ð 54
265	Gerek Hearmon	51	MŠnnlich	45 Ð 54
266	Ber Sanderson	54	MŠnnlich	45 Ð 54
267	Mellisa Baudains	40	Weiblich	35 Ð 44
268	Vladimir Karleman	28	MŠnnlich	25 Ð 34
269	Rheta Nunes Nabarro	49	Weiblich	45 Ð 54
270	Astrid Cagan	64	Weiblich	> 54
271	Mair Ackred	40	Weiblich	35 Ð 44
272	Kasey O'Giany	49	Weiblich	45 Ð 54
273	Brooks Corton	35	MŠnnlich	35 Ð 44
274	Ainsley Franceschino	63	Weiblich	> 54
275	Benedetta Paolini	49	Weiblich	45 Ð 54
276	Rochester Sangwine	12	MŠnnlich	< 25
277	Aggie Somerset	49	Weiblich	45 Ð 54
278	Sim Wenman	31	MŠnnlich	25 Ð 34
279	Andris Gunby	33	MŠnnlich	25 Ð 34
280	Violette Rump	56	Weiblich	> 54
281	Clarance Tullis	41	MŠnnlich	35 Ð 44
282	Lannie Grundell	29	MŠnnlich	25 Ð 34
283	Bronson Stoney	46	MŠnnlich	45 Ð 54
284	Teddie Jakoub	41	Weiblich	35 Ð 44
285	Roger Kneath	48	MŠnnlich	45 Ð 54
286	Courtenay Croce	68	Weiblich	> 54
287	Charo Chetwin	59	Weiblich	> 54
288	Freddie Vain	38	MŠnnlich	35 Ð 44
289	Herman Glashby	52	MŠnnlich	45 Ð 54
290	Elvera Gino	41	Weiblich	35 Ð 44
291	Lefty Dioniso	55	MŠnnlich	> 54
292	Marcie Gherardelli	40	Weiblich	35 Ð 44
293	Ninnette Goford	48	Weiblich	45 Ð 54
294	Joann Swinden	37	Weiblich	35 Ð 44
295	Ophelia Lillecrap	47	Weiblich	45 Ð 54
296	Terrel Brenard	50	MŠnnlich	45 Ð 54
297	Perren Tunstall	39	MŠnnlich	35 Ð 44
298	Taite Huxtable	52	MŠnnlich	45 Ð 54
299	Marie-jeanne Runnicles	47	Weiblich	45 Ð 54
300	Harmonie McGlynn	51	Weiblich	45 Ð 54
301	Camella Schankelborg	52	Weiblich	45 Ð 54
302	Ancell Lineen	66	MŠnnlich	> 54
303	Jase Akeherst	39	MŠnnlich	35 Ð 44
304	Mendel Culter	58	MŠnnlich	> 54
305	Fabiano Gammack	46	MŠnnlich	45 Ð 54
306	Margie Bridgett	66	Weiblich	> 54
307	Duke Capewell	49	MŠnnlich	45 Ð 54
308	Clay Dorman	47	MŠnnlich	45 Ð 54
309	Alyce Gidman	42	Weiblich	35 Ð 44
310	Hersch Hunnybun	38	MŠnnlich	35 Ð 44
311	Ilsa Doyle	36	Weiblich	35 Ð 44
312	Dalis Waddell	30	MŠnnlich	25 Ð 34
313	Tadd Lindborg	54	MŠnnlich	45 Ð 54
314	Gerty Storek	47	Weiblich	45 Ð 54
315	Bartholomew Buzza	51	MŠnnlich	45 Ð 54
316	Sven De Bischof	41	MŠnnlich	35 Ð 44
317	Fairfax Broadley	69	MŠnnlich	> 54
318	Luigi Tortis	47	MŠnnlich	45 Ð 54
319	Sigismond Milmore	21	MŠnnlich	< 25
320	Keely Godain	56	Weiblich	> 54
321	Elwira Dwine	33	Weiblich	25 Ð 34
322	Jamesy Jurges	50	MŠnnlich	45 Ð 54
323	Pattie Raiman	49	Weiblich	45 Ð 54
324	Abraham Edbrooke	48	MŠnnlich	45 Ð 54
325	Judy Heale	38	Weiblich	35 Ð 44
326	Caron Rycroft	46	Weiblich	45 Ð 54
327	Shoshana Bradfield	63	Weiblich	> 54
328	Lon Edmead	54	MŠnnlich	45 Ð 54
329	Brit Lanchbery	15	Weiblich	< 25
330	Alfredo de Wilde	46	MŠnnlich	45 Ð 54
331	Maxie Silverston	52	MŠnnlich	45 Ð 54
332	Shaughn Matashkin	32	MŠnnlich	25 Ð 34
333	Ursala Caughtry	41	Weiblich	35 Ð 44
334	Zonnya Thorley	40	Weiblich	35 Ð 44
335	Stephannie Quadling	37	Weiblich	35 Ð 44
336	Mahmud O'Halleghane	24	MŠnnlich	< 25
337	Chelsie Dundendale	35	Weiblich	35 Ð 44
338	Ingaborg Mignot	35	Weiblich	35 Ð 44
339	Debbie Ivell	45	Weiblich	45 Ð 54
340	Silvia Pilkington	66	Weiblich	> 54
341	Gal Headley	55	MŠnnlich	> 54
342	Joella MacAscaidh	52	Weiblich	45 Ð 54
343	Rosanna Jovasevic	48	Weiblich	45 Ð 54
344	Patsy Chieze	43	MŠnnlich	35 Ð 44
345	Hansiain Garard	47	MŠnnlich	45 Ð 54
346	Kelley McKendo	32	MŠnnlich	25 Ð 34
347	Rex Moehler	41	MŠnnlich	35 Ð 44
348	Salim Moralis	49	MŠnnlich	45 Ð 54
349	Melli Coysh	60	Weiblich	> 54
350	Tiebout Annand	36	MŠnnlich	35 Ð 44
351	Charlene Mutton	52	Weiblich	45 Ð 54
352	Conroy Batters	62	MŠnnlich	> 54
353	Inna Boncoeur	38	Weiblich	35 Ð 44
354	Ethelbert Tumielli	27	MŠnnlich	25 Ð 34
355	Jacquie Coverlyn	40	Weiblich	35 Ð 44
356	Sullivan Kidner	60	MŠnnlich	> 54
357	Smitty Freire	37	MŠnnlich	35 Ð 44
358	Cindi Walbridge	61	Weiblich	> 54
359	Inglis Croxall	48	MŠnnlich	45 Ð 54
360	Finn Fearfull	40	MŠnnlich	35 Ð 44
361	Cly Mallall	31	MŠnnlich	25 Ð 34
362	Bail Maskill	44	MŠnnlich	35 Ð 44
363	Ive Lakes	52	MŠnnlich	45 Ð 54
364	Aubree Englishby	50	Weiblich	45 Ð 54
365	Adelheid Riolfo	36	Weiblich	35 Ð 44
366	Henrietta Joynes	42	Weiblich	35 Ð 44
367	Courtney Haggath	32	MŠnnlich	25 Ð 34
368	Cacilia Blew	37	Weiblich	35 Ð 44
369	Elihu Leftridge	42	MŠnnlich	35 Ð 44
370	Eziechiele Barnish	55	MŠnnlich	> 54
371	Martica Ellsworthe	52	Weiblich	45 Ð 54
372	Pollyanna Maneylaws	49	Weiblich	45 Ð 54
373	Carter Remer	50	MŠnnlich	45 Ð 54
374	Teddie Shuttell	59	Weiblich	> 54
375	Yorgo Eastcourt	50	MŠnnlich	45 Ð 54
376	Winnah Keysall	37	Weiblich	35 Ð 44
377	Isabella Sizzey	38	Weiblich	35 Ð 44
378	Loreen Worvell	69	Weiblich	> 54
379	Gussi Penwarden	45	Weiblich	45 Ð 54
380	Rosanne Bythell	38	Weiblich	35 Ð 44
381	Ram Vivien	44	MŠnnlich	35 Ð 44
382	Conchita Grinley	32	Weiblich	25 Ð 34
383	Adey Haruard	54	Weiblich	45 Ð 54
384	Chloris Giorgioni	44	Weiblich	35 Ð 44
385	Alister Hastewell	54	MŠnnlich	45 Ð 54
386	Marlyn Martignon	39	Weiblich	35 Ð 44
387	Pascal Wims	47	MŠnnlich	45 Ð 54
388	Andrea Keeney	30	Weiblich	25 Ð 34
389	Lorraine Rangle	39	Weiblich	35 Ð 44
390	Zandra Felton	46	Weiblich	45 Ð 54
391	Jacob Bogue	57	MŠnnlich	> 54
392	Lyndsie Nimmo	37	Weiblich	35 Ð 44
393	Rosalie Orcas	46	Weiblich	45 Ð 54
394	Jenilee Gillespey	53	Weiblich	45 Ð 54
395	Greer Fridaye	37	Weiblich	35 Ð 44
396	Clare Rickett	37	MŠnnlich	35 Ð 44
397	Noland Aspinal	37	MŠnnlich	35 Ð 44
398	Tyrus Bassam	22	MŠnnlich	< 25
399	Rebekkah McEnteggart	49	Weiblich	45 Ð 54
400	Wiatt Jermyn	51	MŠnnlich	45 Ð 54
401	Haskell Millwall	44	MŠnnlich	35 Ð 44
402	Petey Avraam	51	MŠnnlich	45 Ð 54
403	Nickolai Caplen	57	MŠnnlich	> 54
404	Gay Duggen	48	MŠnnlich	45 Ð 54
405	Arnold Brotheridge	50	MŠnnlich	45 Ð 54
406	Thatch Jeness	43	MŠnnlich	35 Ð 44
407	Nathalie Finby	49	Weiblich	45 Ð 54
408	Dion Maruszewski	59	Weiblich	> 54
409	Nanci Keynd	44	Weiblich	35 Ð 44
410	Shelbi Birtwisle	48	Weiblich	45 Ð 54
411	Maddy Sandels	39	MŠnnlich	35 Ð 44
412	Bryant Brussell	48	MŠnnlich	45 Ð 54
413	Nickie Aarons	60	MŠnnlich	> 54
414	Valentin Biggen	42	MŠnnlich	35 Ð 44
415	Lefty Shapiro	39	MŠnnlich	35 Ð 44
416	Christie Peres	48	MŠnnlich	45 Ð 54
417	Harland Norvel	32	MŠnnlich	25 Ð 34
418	Wyndham Rainsdon	42	MŠnnlich	35 Ð 44
419	Annemarie Ravelus	40	Weiblich	35 Ð 44
420	Decca Phetteplace	52	MŠnnlich	45 Ð 54
421	Paulo Zanetti	33	MŠnnlich	25 Ð 34
422	Kettie Curedell	39	Weiblich	35 Ð 44
423	Manolo Eisig	40	MŠnnlich	35 Ð 44
424	Felizio Udie	50	MŠnnlich	45 Ð 54
425	Lydon Nicklin	33	MŠnnlich	25 Ð 34
426	Dav Petters	53	MŠnnlich	45 Ð 54
427	Clywd Surcomb	46	MŠnnlich	45 Ð 54
428	Inglebert Cancott	49	MŠnnlich	45 Ð 54
429	Paulina Spurrett	44	Weiblich	35 Ð 44
430	Dew Rain	35	MŠnnlich	35 Ð 44
431	Ethelin Rabat	39	Weiblich	35 Ð 44
432	Hilly Duckinfield	30	MŠnnlich	25 Ð 34
433	Engracia Van Halen	42	Weiblich	35 Ð 44
434	Gerrie Tracy	43	MŠnnlich	35 Ð 44
435	Lloyd Meeking	39	MŠnnlich	35 Ð 44
436	Rob Coopey	51	MŠnnlich	45 Ð 54
437	Zorana Fatscher	49	Weiblich	45 Ð 54
438	Spike Lafond	27	MŠnnlich	25 Ð 34
439	Dominique Bourges	37	Weiblich	35 Ð 44
440	Griffin Kuhl	63	MŠnnlich	> 54
441	Renell Dillinton	39	Weiblich	35 Ð 44
442	Ignacio Huntress	49	MŠnnlich	45 Ð 54
443	Arie Jeandet	27	MŠnnlich	25 Ð 34
444	Brenna Ambler	58	Weiblich	> 54
445	Trumann Mingay	36	MŠnnlich	35 Ð 44
446	Shalne McCawley	47	Weiblich	45 Ð 54
447	Jobi Hydes	42	Weiblich	35 Ð 44
448	Ortensia Treadway	54	Weiblich	45 Ð 54
449	Maurita Stooders	46	Weiblich	45 Ð 54
450	Morganne Diglin	82	Weiblich	> 54
451	Nickey Romney	64	MŠnnlich	> 54
452	Marthe Klimp	58	Weiblich	> 54
453	Bellanca Preshous	30	Weiblich	25 Ð 34
454	Yulma Wrightson	37	MŠnnlich	35 Ð 44
455	Idalina Cogdell	40	Weiblich	35 Ð 44
456	Margarita Viccars	40	Weiblich	35 Ð 44
457	Norrie Ambroziak	41	MŠnnlich	35 Ð 44
458	Roxana Canfer	15	Weiblich	< 25
459	Sander Filmer	45	MŠnnlich	45 Ð 54
460	Emmaline Paulou	47	Weiblich	45 Ð 54
461	Amalea Ollerton	31	Weiblich	25 Ð 34
462	Becca Keatch	47	Weiblich	45 Ð 54
463	Kath Keerl	40	Weiblich	35 Ð 44
464	Saunderson Walbrook	37	MŠnnlich	35 Ð 44
465	Lane Ternott	26	Weiblich	25 Ð 34
466	Vinny Greasty	50	Weiblich	45 Ð 54
467	Kiri Callow	44	Weiblich	35 Ð 44
468	Luther Radenhurst	33	MŠnnlich	25 Ð 34
469	Eran Troy	41	Weiblich	35 Ð 44
470	Gunter Parysiak	47	MŠnnlich	45 Ð 54
471	Halimeda Axup	54	Weiblich	45 Ð 54
472	Ring Ouldcott	54	MŠnnlich	45 Ð 54
473	Leroy Matanin	58	MŠnnlich	> 54
474	Richart Rummins	55	MŠnnlich	> 54
475	Willey Yanele	50	MŠnnlich	45 Ð 54
476	Harlan Holligan	50	MŠnnlich	45 Ð 54
477	Vere Schimpke	40	Weiblich	35 Ð 44
478	Blondell Strowlger	65	Weiblich	> 54
479	Fleurette Carl	43	Weiblich	35 Ð 44
480	Erik Trumper	48	MŠnnlich	45 Ð 54
481	Petronilla Pickworth	50	Weiblich	45 Ð 54
482	Mose Delue	58	MŠnnlich	> 54
483	Rudie Petru	44	MŠnnlich	35 Ð 44
484	Jacques Pockey	49	MŠnnlich	45 Ð 54
485	Matelda McBrier	40	Weiblich	35 Ð 44
486	Cariotta Shallcross	49	Weiblich	45 Ð 54
487	Marijo Kolczynski	43	Weiblich	35 Ð 44
488	Amitie Limbrick	45	Weiblich	45 Ð 54
489	Riley Ethridge	35	MŠnnlich	35 Ð 44
490	Morley Myrkus	59	MŠnnlich	> 54
491	Nico Arthan	49	MŠnnlich	45 Ð 54
492	Ronnica Robertet	48	Weiblich	45 Ð 54
493	Gusta Haldene	47	Weiblich	45 Ð 54
494	Regan Fardell	44	MŠnnlich	35 Ð 44
495	Leann Stirman	60	Weiblich	> 54
496	Eleni Cholomin	52	Weiblich	45 Ð 54
497	Wenda McGinnell	46	Weiblich	45 Ð 54
498	Leicester Marchelli	49	MŠnnlich	45 Ð 54
499	Balduin Dallosso	43	MŠnnlich	35 Ð 44
500	Darren Rumble	54	MŠnnlich	45 Ð 54
